Id;Title;PosterPath;Popularity;VoteCount
"5";"Four Rooms";"https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg";"2,6964";"2707"
"11";"Star Wars";"https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg";"19,873";"21320"
"13";"Forrest Gump";"https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg";"22,5534";"28396"
"15";"Citizen Kane";"https://image.tmdb.org/t/p/w500/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg";"3,783";"5708"
"16";"Dancer in the Dark";"https://image.tmdb.org/t/p/w500/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg";"2,7363";"1877"
"22";"Pirates of the Caribbean: The Curse of the Black Pearl";"https://image.tmdb.org/t/p/w500/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg";"23,3127";"21259"
"24";"Kill Bill: Vol. 1";"https://image.tmdb.org/t/p/w500/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg";"12,2863";"17991"
"25";"Jarhead";"https://image.tmdb.org/t/p/w500/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg";"4,3421";"2980"
"27";"9 Songs";"https://image.tmdb.org/t/p/w500/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg";"7,9575";"536"
"35";"The Simpsons Movie";"https://image.tmdb.org/t/p/w500/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg";"9,3563";"8209"
"38";"Eternal Sunshine of the Spotless Mind";"https://image.tmdb.org/t/p/w500/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg";"13,3307";"15549"
"58";"Pirates of the Caribbean: Dead Man's Chest";"https://image.tmdb.org/t/p/w500/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg";"17,7275";"16440"
"59";"A History of Violence";"https://image.tmdb.org/t/p/w500/A26rcvipOqptVs7i5uRmKicXRxE.jpg";"4,0141";"3433"
"65";"8 Mile";"https://image.tmdb.org/t/p/w500/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg";"7,2168";"7475"
"66";"Absolute Power";"https://image.tmdb.org/t/p/w500/jiwy7YaPHLN8s1SuXWGgQLKKNKE.jpg";"2,0687";"1141"
"68";"Brazil";"https://image.tmdb.org/t/p/w500/aewan59WcFThBimkTVVoNf2o5Vb.jpg";"3,9321";"3439"
"69";"Walk the Line";"https://image.tmdb.org/t/p/w500/zMkD6FVikyPNnigoupO7vD5ti9p.jpg";"3,4991";"2970"
"70";"Million Dollar Baby";"https://image.tmdb.org/t/p/w500/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg";"5,456";"9882"
"71";"Billy Elliot";"https://image.tmdb.org/t/p/w500/nOr5diUZxphmAD3li9aiILyI28F.jpg";"4,0344";"3926"
"73";"American History X";"https://image.tmdb.org/t/p/w500/x2drgoXYZ8484lqyDj7L1CEVR4T.jpg";"5,7297";"11939"
"74";"War of the Worlds";"https://image.tmdb.org/t/p/w500/6Biy7R9LfumYshur3YKhpj56MpB.jpg";"9,3482";"8649"
"77";"Memento";"https://image.tmdb.org/t/p/w500/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg";"9,7739";"15392"
"78";"Blade Runner";"https://image.tmdb.org/t/p/w500/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg";"11,36";"14238"
"80";"Before Sunset";"https://image.tmdb.org/t/p/w500/94Yl2xVB7YIRK4IgA0RqYGiNgkB.jpg";"4,6563";"3518"
"81";"Nausicaä of the Valley of the Wind";"https://image.tmdb.org/t/p/w500/tcrkfB8SRPQCgwI88hQScua6nxh.jpg";"5,8396";"3774"
"82";"Miami Vice";"https://image.tmdb.org/t/p/w500/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg";"3,4781";"1843"
"85";"Raiders of the Lost Ark";"https://image.tmdb.org/t/p/w500/ceG9VzoRAVGwivFU403Wc3AHRys.jpg";"11,8678";"12950"
